alimento,classificacao
PÃO BRIOCHE,outros alimentos processados
PÃO BRIOCHE INTEGRAL,outros alimentos processados
PÃO FRANCÊS,outros alimentos processados
PÃO FRANCÊS INTEGRAL,outros alimentos processados
PÃO FRANCÊS SEM SAL,outros alimentos processados
PATINHO COZIDO,carnes e derivados
PATINHO MOÍDO,Carnes e derivados
PATINHO MOÍDO ALMÔNDEGA SEM GORDURA,Carnes e derivados
PAVÊ DE AMENDOIM,Produtos açucarados
PÉ DE MOÇA,Produtos açucarados
PEITO DE FRANGO SEM PELE,Carnes e derivados
COZIDO,Alimentos preparados
"PEITO DE FRANGO, SEM PELE, COZIDO",Alimentos preparados
"PEITO DE FRANGO, SEM PELE, COZIDO, DESFIADO",Alimentos preparados
"PEITO DE FRANGO, SEM PELE, COZIDO, EM CUBOS",Alimentos preparados
"PEITO DE FRANGO, SEM PELE, COZIDO, EM ISCAS",Alimentos preparados
"PEITO DE FRANGO, SEM PELE, GRELHADO",Alimentos preparados
PEPINO,Verduras
PEPINO CRU,Verduras
PEPINO EM CUBINHOS,Verduras
PEPINO EM RODELAS,Verduras
PERA,Frutas
"PÊRA, WILLIAMS, CRUA",Frutas
PIMENTÃO AMARELO,Verduras
PIMENTÃO VERDE,Verduras
PIMENTÃO VERMELHO,Verduras
PIRÃO,outros alimentos processados
POLENTA,cereais e derivados
POLPA DE ACEROLA CONGELADA,frutas e derivados
POLPA DE CAJU CONGELADA,frutas e derivados
POLPA DE FRUTA,frutas e derivados
POLPA DE GRAVIOLA CONGELADA,frutas e derivados
POLPA DE MAMÃO CONGELADA,frutas e derivados
POLPA DE MANGA CONGELADA,frutas e derivados
POLPA DE MARACUJÁ,frutas e derivados
POLPA DE MARACUJÁ CONGELADA,frutas e derivados
PROTEÍNA,outros alimentos processados
PUDIM DE BAUNILHA,outros alimentos processados
PUDIM DE CHOCOLATE,outros alimentos processados
PUDIM DE CHOCOLATE DIET,outros alimentos processados
PUDIM DE COCO,outros alimentos processados
PUDIM DE COCO DIET COM LEITE DESNATADO,outros alimentos processados
PUDIM DE MORANGO DIET,outros alimentos processados
PUDIM DIET DE BAUNILHA,outros alimentos processados
PURÊ DE BATATA,outros alimentos processados
PURÊ DE BATATA BAROA,outros alimentos processados
QUEIJO MOZARELA,leites e derivados
QUEIJO MUÇARELA,leites e derivados
QUEIJO PARMESÃO,leites e derivados
QUIABO COZIDO,legumes e derivados
QUIABO ENSOPADO,legumes e derivados
QUIABO REFOGADO,legumes e derivados
QUICHE,alimentos preparados
RABANETE CRU,verduras
REPOLHO BRANCO CRU,verduras
REPOLHO BRANCO REFOGADO,verduras
REPOLHO ROXO,verduras
"REPOLHO ROXO, CRU",verduras
RICOTA,leites e derivados
RÚCULA CRUA,verduras
SAL,aromatizantes
SALPICÃO DE FRANGO,alimentos preparados
"SOBRECOXA DE FRANGO SEM PELE, ASSADA",carnes e derivados
"SOBRECOXA DE FRANGO, SEM PELE, ASSADA",carnes e derivados
SOPA CREME DE ERVILHA,alimentos preparados
SOPA DE CANJIQUINHA DE MILHO EM GRÃO,alimentos preparados
SOUFLÊ,alimentos preparados
SUCO DE CAJÚ,bebidas
TAIOBA REFOGADA,verduras
TAPIOCA SECA,cereais e derivados
TCM,gorduras e óleos
TOMATE,legumes e derivados
"TOMATE COM SEMENTE, CRU",legumes e derivados
TOMATE CRU COM SEMENTE,legumes e derivados
TOMATE SALADA,legumes e derivados
TOMATE SALADA EM CUBINHOS,legumes e derivados
TRIGO,cereais e derivados
UVA PASSAS,frutas e derivados
UVA RUBI CRUA,frutas
"UVA, RUBI, CRUA",frutas
VAGEM COZIDA,leguminosas e derivados
VINAGRE,aromatizantes
VINAGRETE,outros alimentos processados
VITAMINA HPHC,bebidas
VITAMINA HPHC DO DIA,bebidas
